mrph;fName;id;ref;PoS;cls;gD;lm;std;tx
a.pl.;Bibelstellen;JH_20;Johannes 20.30 (As);sm.;;Schüler;оученикъ;оученикꙑ́;оученікꙑ
a.sg.m.               d.sg.en.;Bibelstellen;JH_20;Johannes 20.30 (As);prn.;$;sein,eigene(r,s);свои;+свои́ми ;+своимі, 
a.sg.m.               d.sg.en.;Bibelstellen;JH_20;Johannes 20.30 (As);prn.;$;ich;азъ ;свои́ми ;своимі, 
n.pl.n.;Bibelstellen;JH_20;Johannes 20.30 (As);prn.;$;rel.prn.;и;ꙗ;+ѣже
$;Bibelstellen;JH_20;Johannes 20.30 (As);part.;$;же;же;же;ѣже
$;Bibelstellen;JH_20;Johannes 20.30 (As);part.;$;nicht;не;не;не
3.pl.prs.;Bibelstellen;JH_20;Johannes 20.30 (As);vb.im.;a;sein;бꙑти;сѫ́тъ;сѫтъ
$;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;prp.;$;in;въ;въ;вь
a.sg.f.;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;adj.;;neu;новъ;но́вѫ;новѫ
a.sg.;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;sf.;a;Sonntag;недѣл҄ꙗ;недѣ́л҄ѭ;неⷣл.
n.sg.f.;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;prn.;$;rel.prn.;и;ꙗ;+ѣже
$;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;part.;$;же;же;же;ѣже
$;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;prp.;$;nach;по;по;по
l.sg.;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;sf.;;Ostern;пасха;па́стѣ;пастѣ 
$;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;prp.;$;von;отъ;отъ;оⷮ
g.sg.;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;sm.npr.;;Johannes;Ноанъ;Иоа́на;иоаⷩ
n.sg.;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;sf.;c;Kapitel;глава;глава́;глаⷡ
n.du.n.;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;num.;$;zwei;дъва;дъвѣ́;+с҃і҃в҃ 
n.du.;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;num.;;hundert;съто;сътѣ́;+с҃і҃в҃ 
n.sg.f.em.;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;adj.num.;;dritter;третьи;тре́тьꙗꙗ;+с҃і҃в҃ 
$;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;prp.;$;auf;на;на;+с҃і҃в҃ 
l.sg.;Bibelstellen;JH_20;Johannes 20 (Ochr) Überschrift;num.;c;zehn;десѧть;де́сѧте ;с҃і҃в҃ 
prc.prs.act.n.sg.f.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);vb.im.;a;sein;бꙑти;сѫ́щи;сѫшті
l.sg.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);adv.;$;spät;поздѣ;по́здѣ;поздѣ
$;Bibelstellen;JH_20;Johannes 20.19 (Ochr);prp.;$;in;въ;въ;въ
a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);prn.;$;der,dieser;тъ;тъ;тъ
n.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);sm.;b;Tag;дьнь;дь́нь;денъ,
$;Bibelstellen;JH_20;Johannes 20.19 (Ochr);prp.;$;in;въ;въ;вь
a.sg.f.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);num.;b;eins;ѥдинъ;ѥдинѫ́;едінѫ
a.sg.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);sf.;;Samstag;сѫбота;сѫбо́тѫ ;сѫбот* 
$;Bibelstellen;JH_20;Johannes 20.19 (Ochr);prn.;$;und;и;и;і
d.pl.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);sf.;;Tür;двьрь;двьрь́мъ;двъремъ
prc.prt.pass.d.pl.f.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);vb.pf.;;schließen;затворити;затворе́намъ ;заренамъ, 
$;Bibelstellen;JH_20;Johannes 20.19 (Ochr);adv.;$;da;иде;иде;+идеже
$;Bibelstellen;JH_20;Johannes 20.19 (Ochr);part.;$;же;же;же;идеже
3.pl.impf.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);vb.im.;a;sein;бꙑти;бѣ́ахѫ;бѣхѫ
n.pl.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);sm.;;Schüler;оученикъ;оученици́;оученци
prc.prt.pass.n.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);vb.pf.;;versammeln;събьрати;съ́бьрани ;с*бърані, 
$;Bibelstellen;JH_20;Johannes 20.19 (Ochr);prp.;$;für;за;за;за
a.sg.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);sm.;c;Furcht;страхъ;стра́хъ;страхъ
a.sg.m.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);adv.;$;Juden-;июдѣискъ;июдѣ́искъ;июдѣискъ,
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);vb.pf.;b;kommen;приити;приде́;пріде
n.sg.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);sm.npr.;a;Jesus;Исоусъ;Исоу́съ;и҃с҃* 
$;Bibelstellen;JH_20;Johannes 20.19 (Ochr);prn.;$;und;и;и;і
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);vb.;a;stehen;стати;ста;ста
$;Bibelstellen;JH_20;Johannes 20.19 (Ochr);prp.;$;;по;по;по
d.sg.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);sf.;;Mitte;срѣда;срѣдѣ́ ;срѣдѣ, 
$;Bibelstellen;JH_20;Johannes 20.19 (Ochr);prn.;$;und;и;и;і
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);vb.;a;sprechen;глаголати;глаго́ла;г҃л҃а
d.pl.m.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);prn.;$;er,sie,es;и;и́мъ;имъ,
a.sg.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);sm.;c;Friede;миръ;ми́ръ;міръ
d.pl.;Bibelstellen;JH_20;Johannes 20.19 (Ochr);prn.;$;ihr;вꙑ;ва́мъ ;вамъ, 
$;Bibelstellen;JH_20;Johannes 20.20 (Ochr);prn.;$;und;и;и;і
prc.prt.act.n.sg.m.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);vb.pf.;c;reden;рещи;ре́къ;рекъ,
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);vb.pf.;;zeigen;показати;показа́;показа
d.pl.m.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);prn.;$;er,sie,es;и;и́мъ;имъ 
a.du.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);sf.;c;Hand;рѫка;рѫ́цѣ;рѫцѣ
$;Bibelstellen;JH_20;Johannes 20.20 (Ochr);prn.;$;und;и;и;и
a.du.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);sf.;c;Bein,Fuß;нога;но́ꙃѣ;ноꙃѣ,
$;Bibelstellen;JH_20;Johannes 20.20 (Ochr);prn.;$;und;и;и;и
a.pl.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);sn.;;Rippe;ребро;ребра́;ребра
a.pl.n.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);prn.;$;sein,eigene(r,s);свои;своꙗ́;св* 
3.pl.aor.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);vb.pf.;;sich freuen;възра́довати;въздра́довашѧ;вьздрадовашѧ
$;Bibelstellen;JH_20;Johannes 20.20 (Ochr);part.;$;δὲ;же;же;же
a.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);prn.;$;med.;сѧ;сѧ;сѧ
n.pl.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);sm.;;Schüler;оученикъ;оученици́;оученіці
prc.prt.act.n.pl.m.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);vb.im.;a;sehen;видѣти;ви́дѣвъше;видѣвъше
a.sg.;Bibelstellen;JH_20;Johannes 20.20 (Ochr);sm.;c;Herr;господь ;го́сподꙗ;г҃д҃ѣ 
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.21 (Ochr);vb.pf.;c;reden;рещи;ре́че;рече
d.pl.m.;Bibelstellen;JH_20;Johannes 20.21 (Ochr);prn.;$;er,sie,es;и;и́мъ;имъ
$;Bibelstellen;JH_20;Johannes 20.21 (Ochr);adv.;$;wieder;пакꙑ;па́кꙑ;пакꙑ,
a.sg.;Bibelstellen;JH_20;Johannes 20.21 (Ochr);sm.;c;Friede;миръ;ми́ръ;миръ
d.pl.;Bibelstellen;JH_20;Johannes 20.21 (Ochr);prn.;$;ihr;вꙑ;ва́мъ ;вамъ, 
$;Bibelstellen;JH_20;Johannes 20.21 (Ochr);adv.;$;wie;ꙗко;ꙗ́ко;ѣко
$;Bibelstellen;JH_20;Johannes 20.21 (Ochr);part.;$;же;же;же;же
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.21 (Ochr);vb.pf.;b;schicken;посълати;посъла́;посъла
a.sg.;Bibelstellen;JH_20;Johannes 20.21 (Ochr);prn.;$;ich;азъ;мѧ;м*
n.sg.;Bibelstellen;JH_20;Johannes 20.21 (Ochr);sm.;b;Vater;отьць;оть́ць ;о҃ц҃ь, 
$;Bibelstellen;JH_20;Johannes 20.21 (Ochr);prn.;$;und;и;и;и
n.sg.;Bibelstellen;JH_20;Johannes 20.21 (Ochr);prn.;$;ich;азъ;а́зъ;азъ
1.sg.aor.;Bibelstellen;JH_20;Johannes 20.21 (Ochr);vb.pf.;b;schicken;посълати;посъл҄ѭ́;посълѭ
a.pl.;Bibelstellen;JH_20;Johannes 20.21 (Ochr);prn.;$;ihr;вꙑ;вꙑ ;вꙑ, 
$;Bibelstellen;JH_20;Johannes 20.22 (Ochr);prn.;$;und;и;и;і
$;Bibelstellen;JH_20;Johannes 20.22 (Ochr);adv.;$;ecce;се;се;се
prc.prt.act.n.sg.m.;Bibelstellen;JH_20;Johannes 20.22 (Ochr);vb.pf.;c;reden;рещи;ре́къ;рекъ
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.22 (Ochr);vb.pf.;;hauchen;доунѫти;доу́нѫ ;доуноу, 
$;Bibelstellen;JH_20;Johannes 20.22 (Ochr);prn.;$;und;и;и;і
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.22 (Ochr);vb.;a;sprechen;глаголати;глаго́ла;г҃҃л҃*
d.pl.m.;Bibelstellen;JH_20;Johannes 20.22 (Ochr);prn.;$;er,sie,es;и;и́мъ;імъ,
2.pl.imp.;Bibelstellen;JH_20;Johannes 20.22 (Ochr);vb.pf.;b;empfangen;приѩти;приимѣ́те;пріимѣте
a.sg.;Bibelstellen;JH_20;Johannes 20.22 (Ochr);sm.;c;Geist;доухъ;доу́хъ;д҃х҃ъ
a.sg.m.;Bibelstellen;JH_20;Johannes 20.22 (Ochr);adj.;c;heilig;свѧтъ;свѧ́тъ ;с҃т҃ъ, 
$;Bibelstellen;JH_20;Johannes 20.23 (Ochr);prn.;$;und;и;и;і
d.pl.m.;Bibelstellen;JH_20;Johannes 20.23 (Ochr);prn.;$;er,sie,es;и;и́мъ;+имъже
$;Bibelstellen;JH_20;Johannes 20.23 (Ochr);part.;$;же;же;же;имъже
2.pl.prs.;Bibelstellen;JH_20;Johannes 20.23 (Ochr);vb.pf.;c;entlassen;отъпоустити;отъпоу́стите;отъпоуст*те
a.pl.;Bibelstellen;JH_20;Johannes 20.23 (Ochr);sm.;b;Sünde;грѣхъ;грѣхꙑ́ ;грѣхꙑ, 
3.pl.prs.;Bibelstellen;JH_20;Johannes 20.23 (Ochr);vb.pf.;c;entlassen;отъпоустити;отъпоу́стѧтъ;отъпоустѧтъ
a.;Bibelstellen;JH_20;Johannes 20.23 (Ochr);prn.;$;pass.;сѧ;сѧ;сѧ
d.pl.;Bibelstellen;JH_20;Johannes 20.23 (Ochr);prn.;$;ihr;вꙑ;ва́мъ ;вамъ, 
$;Bibelstellen;JH_20;Johannes 20.23 (Ochr);prn.;$;und;и;и;і
d.pl.m.;Bibelstellen;JH_20;Johannes 20.23 (Ochr);prn.;$;rel.prn.;и;и́мъ;+имъ*
$;Bibelstellen;JH_20;Johannes 20.23 (Ochr);part.;$;же;же;же;имъ*
2.pl.prs.;Bibelstellen;JH_20;Johannes 20.23 (Ochr);vb.im.;b;halten;дрьжати;дрьжи́те;дръжіте,
3.pl.prs.;Bibelstellen;JH_20;Johannes 20.23 (Ochr);vb.im.;b;halten;дрьжати;дрь́жѧтъ;дръжѧтъ
a.;Bibelstellen;JH_20;Johannes 20.23 (Ochr);prn.;$;pass.;сѧ;сѧ ;сѧ, 
n.sg.;Bibelstellen;JH_20;Johannes 20.24 (Ochr);sm.npr.;;Thomas;Ѳома;Ѳома́;тома
$;Bibelstellen;JH_20;Johannes 20.24 (Ochr);part.;$;δὲ;же;же;же
a.sg.m.;Bibelstellen;JH_20;Johannes 20.24 (Ochr);num.;b;eins;ѥдинъ;ѥди́нъ;единъ
$;Bibelstellen;JH_20;Johannes 20.24 (Ochr);prp.;$;von;отъ;отъ;о*
g.du.m.;Bibelstellen;JH_20;Johannes 20.24 (Ochr);prn.;;beide;оба;обо́ю;обою
$;Bibelstellen;JH_20;Johannes 20.24 (Ochr);prp.;$;auf;на;на;на
l.sg.;Bibelstellen;JH_20;Johannes 20.24 (Ochr);num.;c;zehn;десѧть;де́сѧте ;десѧте, 
prc.prs.pass.n.sg.m.em.;Bibelstellen;JH_20;Johannes 20.24 (Ochr);vb.;;nennen;нарицати;нарица́ѥмъи;нарищаемꙑи
n.sg.;Bibelstellen;JH_20;Johannes 20.24 (Ochr);sm.;;Zwilling;близньць;близнь́ць;блізнец*
$;Bibelstellen;JH_20;Johannes 20.24 (Ochr);part.;$;nicht;не;не;не
3.sg.impf.;Bibelstellen;JH_20;Johannes 20.24 (Ochr);vb.im.;a;sein;бꙑти;бѣ;бѣ
$;Bibelstellen;JH_20;Johannes 20.24 (Ochr);prp.;$;mit;съ;съ;съ 
$               d.sg.en.;Bibelstellen;JH_20;Johannes 20.24 (Ochr);part.;$;nicht,neĩ;ни;+ни́ми;+німи,
i.pl.m.;Bibelstellen;JH_20;Johannes 20.24 (Ochr);prn.;$;ich;и;ни́ми;німи,
$;Bibelstellen;JH_20;Johannes 20.24 (Ochr);adv.;$;wann;ѥгда;ѥгда́;егда
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.24 (Ochr);vb.pf.;b;kommen;приити;приде́;пріде
n.sg.;Bibelstellen;JH_20;Johannes 20.24 (Ochr);sm.npr.;a;Jesus;Исоусъ;Исоу́съ ;и҃с҃ъ, 
3.pl.impf.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);vb.;a;sprechen;глаголати;глаго́лаахѫ;г҃л҃ахѫ
$;Bibelstellen;JH_20;Johannes 20.25 (Ochr);part.;$;δὲ;же;же;же
n.pl.m.em.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prn.;;ander;дроугъ;дроуꙃи́и;дроуꙃіи
n.pl.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);sm.;;Schüler;оученикъ;оученици́;оученіці,
1.pl.aor.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);vb.im.;a;sehen;видѣти;ви́дѣхомъ;відѣхомъ
a.sg.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);sm.;c;Herr;господь;госпо́дꙗ ;г҃ѣ҃, 
n.sg.m.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prn.;$;er,sie,es;онъ;о́нъ;онъ
$;Bibelstellen;JH_20;Johannes 20.25 (Ochr);part.;$;же;же;же;же
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);vb.pf.;c;reden;рещи;ре́че;*че
d.pl.m.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prn.;$;er,sie,es;и;и́мъ;імъ,
$;Bibelstellen;JH_20;Johannes 20.25 (Ochr);cnj.;$;wenn,if;аще;а́ще;аще
$;Bibelstellen;JH_20;Johannes 20.25 (Ochr);part.;$;nicht;не;не;не
1.sg.prs.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);vb.im.;a;sehen;видѣти;ви́ждѫ;віждѫ 
$;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prp.;$;auf;на;на;на
g.du.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);sf.;c;Hand;рѫка;рѫкоу́;рѫкоу
g.sg.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prn.;$;er,sie,es;и;ѥго́;его
n.pl.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);sf.;;Wunde;ꙗзва;ꙗ́звꙑ;ѣзв**
a.pl.f.em.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);adj.;;Nagel-;гвоздиинъ;гвозди́инꙑѩ ;*здінꙑѩ, 
$;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prn.;$;und;и;и;і
1.sg.prs.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);vb.pf.;;hineinlegen;въложити;въложѫ́;въложѫ
a.sg.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);sm.;;Finger;прьстъ;прь́стъ;пръстъ
a.sg.m.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prn.;$;mein;мои;мо́и;мои
$;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prp.;$;in;въ;въ;въ
a.sg.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);sf.;;Wunde;ꙗзва;ꙗ́звѫ;*звѫ,
a.sg.f.em.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);adj.;;Nagel-;гвоздиинъ;гвозди́инѫѭ ;гвоздиінѫѭ, 
$;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prn.;$;und;и;и;і
1.sg.prs.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);vb.pf.;;hineinlegen;въложити;въложѫ́;въложѫ
a.sg.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);sf.;c;Hand;рѫка;рѫ́кѫ;рѫкѫ
a.sg.f.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prn.;$;mein;мои;моѭ́;м*
$;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prp.;$;in;въ;въ;въ
a.pl.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);sn.;;Rippe;ребро;ребра́;ребра
g.sg.;Bibelstellen;JH_20;Johannes 20.25 (Ochr);prn.;$;er,sie,es;и;ѥго́;его,
$;Bibelstellen;JH_20;Johannes 20.25 (Ochr);part.;$;nicht;не;не;не 
d.pl.m.;Bibelstellen;JH_20;Johannes 20.26 (Ochr);prn.;$;er,sie,es;и;и́мъ;*імъ
a.sg.;Bibelstellen;JH_20;Johannes 20.26 (Ochr);sm.;c;Friede;миръ;ми́ръ;ми*
d.pl.;Bibelstellen;JH_20;Johannes 20.26 (Ochr);prn.;$;ihr;вꙑ;ва́мъ ;вамъ, 
$;Bibelstellen;JH_20;Johannes 20.27 (Ochr);prp.;$;nach;по;по;+помь
l.sg.n.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);prn.;$;der,dieser;тъ;томь́;помь
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);vb.;a;sprechen;глаголати;глаго́ла;г҃л҃а
d.sg.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);sm.npr.;;Thomas;Ѳома;Ѳомѣ́;томѣ,
2.sg.imp.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);vb.pf.;c;herbringen;принести;принеси́;прінеси
a.sg.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);sm.;;Finger;прьстъ;прь́стъ;*ръстъ
a.sg.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);prn.poss.;$;dein;твои;твои́;твои
$;Bibelstellen;JH_20;Johannes 20.27 (Ochr);adv.;$;hierher;сѣмо;сѣ́мо ;сѣмо, 
$;Bibelstellen;JH_20;Johannes 20.27 (Ochr);prn.;$;und;и;и;і
2.sg.imp.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);vb.im.;a;sehen;видѣти;ви́ждь;віждъ
a.du.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);sf.;c;Hand;рѫка;рѫ́цѣ;рѫцѣ
a.du.f.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);prn.;$;mein;мои;мои́;моі,
$;Bibelstellen;JH_20;Johannes 20.27 (Ochr);prn.;$;und;и;и;і
2.sg.imp.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);vb.pf.;c;herbringen;принести;принеси́;прінесі
a.sg.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);sf.;c;Hand;рѫка;рѫ́кѫ;рѫкѫ
a.sg.f.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);prn.poss.;$;dein;твои;твоѭ́ ;твоѭ, 
$;Bibelstellen;JH_20;Johannes 20.27 (Ochr);prn.;$;und;и;и;і
2.sg.imp.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);vb.pf.;;hineinlegen;въложити;въложи́;вьложі
$;Bibelstellen;JH_20;Johannes 20.27 (Ochr);prp.;$;in;въ;въ;вь
a.pl.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);sn.;;Rippe;ребро;ребра́;ребра
a.pl.n.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);prn.;$;mein;мои;моꙗ́ ;моѣ, 
$;Bibelstellen;JH_20;Johannes 20.27 (Ochr);prn.;$;und;и;и;+іне
$;Bibelstellen;JH_20;Johannes 20.27 (Ochr);part.;$;nicht;не;не;іне
3.sg.imp. $;Bibelstellen;JH_20;Johannes 20.27 (Ochr);vb.im.;a;sein;бꙑти;+бѫ́дине;+бѫді  невѣренъ,
3.sg.imp. $;Bibelstellen;JH_20;Johannes 20.27 (Ochr);part.;$;nicht;не;бѫ́дине;+бѫді  невѣренъ,
n.sg.m.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);adj.;;gläubig;вѣрьнъ;вѣ́рьнъ;бѫді  невѣренъ,
$;Bibelstellen;JH_20;Johannes 20.27 (Ochr);adv.;$;sondern;нъ;нъ;нъ
n.sg.m.;Bibelstellen;JH_20;Johannes 20.27 (Ochr);adj.;;gläubig;вѣрьнъ;вѣ́рьнъ ;вѣренъ, 
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.28 (Ochr);vb.im.;;antworten;отъвѣщати;отъвѣща́;отъвѣща
n.sg.;Bibelstellen;JH_20;Johannes 20.28 (Ochr);sm.npr.;;Thomas;Ѳома;Ѳома́;тома,
$;Bibelstellen;JH_20;Johannes 20.28 (Ochr);prn.;$;und;и;и;і
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.28 (Ochr);vb.pf.;c;reden;рещи;ре́че;*ече
d.sg.m.;Bibelstellen;JH_20;Johannes 20.28 (Ochr);prn.;$;er,sie,es;и;ѥмоу́;емоу,
n.sg.;Bibelstellen;JH_20;Johannes 20.28 (Ochr);sm.;c;Herr;господь;госпо́дь;г҃ь҃
n.sg.m.;Bibelstellen;JH_20;Johannes 20.28 (Ochr);prn.;$;mein;мои;мо́и;мои
n.sg.;Bibelstellen;JH_20;Johannes 20.28 (Ochr);sm.;c;Gott;богъ;бо́гъ;б҃ъ҃
n.sg.m.;Bibelstellen;JH_20;Johannes 20.28 (Ochr);prn.;$;mein;мои ;мои́ ;моі, 
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.29 (Ochr);vb.;a;sprechen;глаголати;глаго́ла;г҃л҃а
d.sg.m.;Bibelstellen;JH_20;Johannes 20.29 (Ochr);prn.;$;er,sie,es;и;ѥмоу́;емоу
n.sg.;Bibelstellen;JH_20;Johannes 20.29 (Ochr);sm.npr.;a;Jesus;Исоусъ;Исоу́съ;і҃с҃ъ,
$;Bibelstellen;JH_20;Johannes 20.29 (Ochr);adv.;$;dass;ꙗко;ꙗ́ко;ѣко
prc.prt.act.n.sg.m.;Bibelstellen;JH_20;Johannes 20.29 (Ochr);vb.im.;a;sehen;видѣти;ви́дѣвъ;відѣвъ
a.sg.;Bibelstellen;JH_20;Johannes 20.29 (Ochr);prn.;$;ich;азъ;мѧ;мѧ
2.sg.aor.;Bibelstellen;JH_20;Johannes 20.29 (Ochr);vb.;;glauben;вѣровати;вѣ́рова ;вѣрова, 
prc.prt.pass.n.pl.m.;Bibelstellen;JH_20;Johannes 20.29 (Ochr);vb.pf.;b?;heiligen,segnen;блажити;блаже́ни;блажени
$;Bibelstellen;JH_20;Johannes 20.29 (Ochr);part.;$;nicht;не;не;+невѣдѣвъшеі,
prc.prt.act.n.pl.m.em.;Bibelstellen;JH_20;Johannes 20.29 (Ochr);vb.im.;a;sehen;видѣти;ви́дѣвъшеи;невѣдѣвъшеі,
$;Bibelstellen;JH_20;Johannes 20.29 (Ochr);prn.;$;und;и;и;и
prc.prt.act.n.pl.m.em.;Bibelstellen;JH_20;Johannes 20.29 (Ochr);vb.;;glauben;вѣровати;вѣ́ровавъшеи ;вѣровавъшеі, 
$;Bibelstellen;JH_4;Johannes 04.05;prp.;$;in;въ;въ;Въ
a.sg.n.;Bibelstellen;JH_4;Johannes 04.05;prn.;$;jene(r,s);онъ;оно;оно
a.sg.;Bibelstellen;JH_4;Johannes 04.05;sn.;c;Zeit;врѣмѧ;врѣмѧ;[врѣмѧ]
3.sg.aor.;Bibelstellen;JH_4;Johannes 04.05;vb.pf.;;hineingehen;вънити;въниде́;въниде
n.sg.;Bibelstellen;JH_4;Johannes 04.05;sm.npr.;a;Jesus;Исоусъ;Исоусъ;исоусъ
$;Bibelstellen;JH_4;Johannes 04.05;prp.;$;in;въ;въ;въ
a.sg.;Bibelstellen;JH_4;Johannes 04.05;sm.;;Stadt;градъ;гра́дъ;градъ
a.sg.m.;Bibelstellen;JH_4;Johannes 04.05;adj.;;samaritisch;самареискъ;самареискъ;самареискъ 
prc.prs.pass.a.sg.m.em.;Bibelstellen;JH_4;Johannes 04.05;vb.;;nennen;нарицати;нарицаѥмꙑи;наріцаемъи
n.sg.;Bibelstellen;JH_4;Johannes 04.05;sm.npr.;;Sichem;Сѵхарь;Сѵхарь;соухарь
$;Bibelstellen;JH_4;Johannes 04.05;adv.;$;nah;искрь;искрь;искрь
g.sg.;Bibelstellen;JH_4;Johannes 04.05;sf.;;Dorf;вьсь;вьси;въсі,
a.sg.f.;Bibelstellen;JH_4;Johannes 04.05;prn.;$;rel.prn.;и;ѭ;+ѭже
$;Bibelstellen;JH_4;Johannes 04.05;part.;$;же;же;же;ѭже
3.sg.aor.;Bibelstellen;JH_4;Johannes 04.05;vb.;c;geben;дати;дастъ;дастъ
sm.npr.;Bibelstellen;JH_4;Johannes 04.05;sm.npr.;;Jakob;Иꙗковъ;Иꙗковъ;иаковь 
d.sg.;Bibelstellen;JH_4;Johannes 04.05;sm.npr.;;Joseph;Иосифъ;Ио́сифоу;иосіфоу
d.sg.;Bibelstellen;JH_4;Johannes 04.05;sm.;;Sohn;сꙑнъ;сꙑноу;съіноу
d.sg.m.;Bibelstellen;JH_4;Johannes 04.05;prn.;$;sein,eigene(r,s);свои;своѥмоу ;своемоу. 
3.sg.impf.;Bibelstellen;JH_4;Johannes 04.06;vb.im.;a;sein;бꙑти;бѣ;бѣ
$;Bibelstellen;JH_4;Johannes 04.06;part.;$;же;же;же;же
$;Bibelstellen;JH_4;Johannes 04.06;adv.;$;da,dort;тоу;тоу;тоу
